"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","31P2R1A5","42P1R1A12","44P3R3A6","51P2R2A10","54P2R2A3"
"paaX","","Transcriptional repressor PaaX","5","5","1","74","8677","","","","935","935","935","31P2R1A5_00225","42P1R1A12_03376","44P3R3A6_00075","51P2R2A10_01137","54P2R2A3_02826"
"ydcV_2","","Inner membrane ABC transporter permease protein YdcV","5","5","1","74","1060","","","","845","845","845","31P2R1A5_01696","42P1R1A12_02881","44P3R3A6_01325","51P2R2A10_01436","54P2R2A3_03625"
"potH","","Putrescine transport system permease protein PotH","5","5","1","74","1061","","","","953","953","953","31P2R1A5_01697","42P1R1A12_02882","44P3R3A6_01326","51P2R2A10_01435","54P2R2A3_03624"
"potF","","Putrescine-binding periplasmic protein","5","5","1","74","1063","","","","1112","1112","1112","31P2R1A5_01699","42P1R1A12_02884","44P3R3A6_01328","51P2R2A10_01433","54P2R2A3_03622"
"grxA","","Glutaredoxin 1","5","5","1","74","1068","","","","263","263","263","31P2R1A5_01704","42P1R1A12_02889","44P3R3A6_01333","51P2R2A10_01428","54P2R2A3_03617"
"rimO","","Ribosomal protein S12 methylthiotransferase RimO","5","5","1","74","1903","","","","1325","1325","1325","31P2R1A5_01719","42P1R1A12_05340","44P3R3A6_01390","51P2R2A10_01356","54P2R2A3_03603"
"gsiC_4","","Glutathione transport system permease protein GsiC","5","5","1","74","1901","","","","920","920","920","31P2R1A5_01721","42P1R1A12_05342","44P3R3A6_01392","51P2R2A10_01354","54P2R2A3_03601"
"ttdT","","L-tartrate/succinate antiporter","5","5","1","74","2127","","","","1433","1511","1493","31P2R1A5_00301","42P1R1A12_01825","44P3R3A6_00216","51P2R2A10_00674","54P2R2A3_02759"
"pflD","","Trans-4-hydroxy-L-proline dehydratase","5","5","1","74","1894","","","","2432","2432","2432","31P2R1A5_01728","42P1R1A12_05350","44P3R3A6_01399","51P2R2A10_01347","54P2R2A3_03594"
"ybiT","","putative ABC transporter ATP-binding protein YbiT","5","5","1","74","1888","","","","1592","1592","1592","31P2R1A5_01734","42P1R1A12_06059","44P3R3A6_01405","51P2R2A10_01341","54P2R2A3_03588"
"mntR","","Transcriptional regulator MntR","5","5","1","74","1881","","","","473","473","473","31P2R1A5_01741","42P1R1A12_00943","44P3R3A6_01412","51P2R2A10_01334","54P2R2A3_03582"
"cynR_1","","hypothetical protein","5","5","1","74","2142","","","","926","926","926","31P2R1A5_00309","42P1R1A12_01816","44P3R3A6_00224","51P2R2A10_00683","54P2R2A3_02750"
"glnQ_5","","Glutamine transport ATP-binding protein GlnQ","5","5","1","74","1867","","","","722","722","722","31P2R1A5_01749","42P1R1A12_00952","44P3R3A6_01420","51P2R2A10_01326","54P2R2A3_03574"
"fabG_4","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","5","5","1","74","1848","","","","749","749","749","31P2R1A5_01761","42P1R1A12_00965","44P3R3A6_01432","51P2R2A10_01313","54P2R2A3_03562"
"ybhR_1","","putative multidrug ABC transporter permease YbhR","5","5","1","74","1839","","","","1106","1106","1106","31P2R1A5_01768","42P1R1A12_00972","44P3R3A6_01439","51P2R2A10_01306","54P2R2A3_03555"
"bioB","","Biotin synthase","5","5","1","74","1803","","","","1040","1040","1040","31P2R1A5_01789","42P1R1A12_00994","44P3R3A6_01460","51P2R2A10_01284","54P2R2A3_03534"
"hutU","","Urocanate hydratase","5","5","1","74","1791","","","","1688","1688","1688","31P2R1A5_01794","42P1R1A12_00999","44P3R3A6_01465","51P2R2A10_01279","54P2R2A3_03529"
"speG","","Spermidine N(1)-acetyltransferase","5","5","1","74","2172","","","","560","560","560","31P2R1A5_00337","42P1R1A12_05761","44P3R3A6_00252","51P2R2A10_00713","54P2R2A3_00511"
"galE","","UDP-glucose 4-epimerase","5","5","1","74","1758","","","","1016","1016","1016","31P2R1A5_01821","42P1R1A12_01020","44P3R3A6_01492","51P2R2A10_01258","54P2R2A3_02971"
"galK","","Galactokinase","5","5","1","74","1742","","","","1148","1148","1148","31P2R1A5_01823","42P1R1A12_01022","44P3R3A6_01494","51P2R2A10_01256","54P2R2A3_02973"
"tolB","","Tol-Pal system protein TolB","5","5","1","74","1726","","","","1292","1292","1292","31P2R1A5_01840","42P1R1A12_01037","44P3R3A6_01511","51P2R2A10_05294","54P2R2A3_02990"
"group_1059","","hypothetical protein","5","5","1","74","1725","","","","1325","1337","1332","31P2R1A5_01841","42P1R1A12_01038","44P3R3A6_01512","51P2R2A10_05293","54P2R2A3_02991"
"metQ_2","","D-methionine-binding lipoprotein MetQ","5","5","1","74","2374","","","","701","809","786","31P2R1A5_00432","42P1R1A12_02637","44P3R3A6_00346","51P2R2A10_00815","54P2R2A3_00429"
"tolR","","Tol-Pal system protein TolR","5","5","1","74","1724","","","","428","428","428","31P2R1A5_01842","42P1R1A12_01039","44P3R3A6_01513","51P2R2A10_05292","54P2R2A3_02992"
"tolQ","","Tol-Pal system protein TolQ","5","5","1","74","1723","","","","692","692","692","31P2R1A5_01843","42P1R1A12_01040","44P3R3A6_01514","51P2R2A10_05291","54P2R2A3_02993"
"ybgC","","Acyl-CoA thioester hydrolase YbgC","5","5","1","74","1722","","","","404","404","404","31P2R1A5_01844","42P1R1A12_01041","44P3R3A6_01515","51P2R2A10_05290","54P2R2A3_02994"
"cydB_2","","Cytochrome bd-I ubiquinol oxidase subunit 2","5","5","1","74","1718","","","","1139","1139","1139","31P2R1A5_01847","42P1R1A12_01044","44P3R3A6_01518","51P2R2A10_05287","54P2R2A3_02997"
"cydA_2","","Cytochrome bd-I ubiquinol oxidase subunit 1","5","5","1","74","1717","","","","1568","1568","1568","31P2R1A5_01848","42P1R1A12_01045","44P3R3A6_01519","51P2R2A10_05286","54P2R2A3_02998"
"sucB","","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","5","5","1","74","1699","","","","1223","1226","1224","31P2R1A5_01851","42P1R1A12_01060","44P3R3A6_01522","51P2R2A10_02745","54P2R2A3_03001"
"sucA","","2-oxoglutarate dehydrogenase E1 component","5","5","1","74","1698","","","","2807","2807","2807","31P2R1A5_01852","42P1R1A12_01061","44P3R3A6_01523","51P2R2A10_02746","54P2R2A3_03002"
"sdhA","","Succinate dehydrogenase flavoprotein subunit","5","5","1","74","1696","","","","1766","1766","1766","31P2R1A5_01854","42P1R1A12_01063","44P3R3A6_01525","51P2R2A10_02748","54P2R2A3_03004"
"sdhD","","Succinate dehydrogenase hydrophobic membrane anchor subunit","5","5","1","74","1695","","","","347","347","347","31P2R1A5_01855","42P1R1A12_01064","44P3R3A6_01526","51P2R2A10_02749","54P2R2A3_03005"
"sdhC","","Succinate dehydrogenase cytochrome b556 subunit","5","5","1","74","1694","","","","404","404","404","31P2R1A5_01856","42P1R1A12_01065","44P3R3A6_01527","51P2R2A10_02750","54P2R2A3_03006"
"gltA_1","","Citrate synthase","5","5","1","74","1693","","","","1283","1283","1283","31P2R1A5_01857","42P1R1A12_01066","44P3R3A6_01528","51P2R2A10_02751","54P2R2A3_03007"
"kdpB","","Potassium-transporting ATPase ATP-binding subunit","5","5","1","74","1667","","","","2048","2048","2048","31P2R1A5_01868","42P1R1A12_01079","44P3R3A6_01539","51P2R2A10_02764","54P2R2A3_03020"
"pgm","","Phosphoglucomutase","5","5","1","74","1651","","","","1640","1640","1640","31P2R1A5_01873","42P1R1A12_01093","44P3R3A6_01544","51P2R2A10_02769","54P2R2A3_03025"
"fur","","Ferric uptake regulation protein","5","5","1","74","1641","","","","452","452","452","31P2R1A5_01878","42P1R1A12_01098","44P3R3A6_01549","51P2R2A10_02774","54P2R2A3_03030"
"glnS","","Glutamine--tRNA ligase","5","5","1","74","1631","","","","1667","1667","1667","31P2R1A5_01885","42P1R1A12_01105","44P3R3A6_01556","51P2R2A10_02781","54P2R2A3_03035"
"asnB","","Asparagine synthetase B [glutamine-hydrolyzing]","5","5","1","74","1619","","","","1661","1664","1662","31P2R1A5_01891","42P1R1A12_01111","44P3R3A6_01562","51P2R2A10_02787","54P2R2A3_03041"
"miaB","","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase","5","5","1","74","1617","","","","1424","1424","1424","31P2R1A5_01900","42P1R1A12_01121","44P3R3A6_01571","51P2R2A10_02796","54P2R2A3_03050"
"ybeZ","","PhoH-like protein","5","5","1","74","1616","","","","1046","1046","1046","31P2R1A5_01901","42P1R1A12_01122","44P3R3A6_01572","51P2R2A10_02797","54P2R2A3_03051"
"gltJ_1","","Glutamate/aspartate import permease protein GltJ","5","5","1","74","1610","","","","740","740","740","31P2R1A5_01906","42P1R1A12_01127","44P3R3A6_01577","51P2R2A10_02802","54P2R2A3_03056"
"gltK","","Glutamate/aspartate import permease protein GltK","5","5","1","74","1609","","","","674","674","674","31P2R1A5_01907","42P1R1A12_01128","44P3R3A6_01578","51P2R2A10_02803","54P2R2A3_03057"
"glnQ_6","","Glutamine transport ATP-binding protein GlnQ","5","5","1","74","1608","","","","725","725","725","31P2R1A5_01908","42P1R1A12_01129","44P3R3A6_01579","51P2R2A10_02804","54P2R2A3_03058"
"rsfS","","Ribosomal silencing factor RsfS","5","5","1","74","1587","","","","317","461","345","31P2R1A5_01917","42P1R1A12_01138","44P3R3A6_01588","51P2R2A10_02813","54P2R2A3_03067"
"mrdA_2","","Peptidoglycan D,D-transpeptidase MrdA","5","5","1","74","1585","","","","1901","1901","1901","31P2R1A5_01919","42P1R1A12_01140","44P3R3A6_01590","51P2R2A10_02815","54P2R2A3_03069"
"group_1094","","hypothetical protein","5","5","1","74","1581","","","","263","263","263","31P2R1A5_01923","42P1R1A12_01144","44P3R3A6_01594","51P2R2A10_02819","54P2R2A3_03073"
