"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","18P3R3A11","37P2R3-2A1","38P2R3A13","47P2R3A6","52P2R3A10","56P2R2A4"
"dapF","","Diaminopimelate epimerase","6","6","1","168","524","","","","824","824","824","18P3R3A11_02140","37P2R3-2A1_03240","38P2R3A13_04196","47P2R3A6_04352","52P2R3A10_04024","56P2R2A4_03822"
"cyaY","","Iron-sulfur cluster assembly protein CyaY","6","6","1","168","526","","","","320","320","320","18P3R3A11_02142","37P2R3-2A1_03242","38P2R3A13_04198","47P2R3A6_04351","52P2R3A10_04026","56P2R2A4_03821"
"hemX","","Protein HemX","6","6","1","168","535","","","","1193","1196","1194","18P3R3A11_02146","37P2R3-2A1_03246","38P2R3A13_04202","47P2R3A6_04347","52P2R3A10_04030","56P2R2A4_03817"
"hemY","","Protein HemY","6","6","1","168","537","","","","1199","1202","1200","18P3R3A11_02147","37P2R3-2A1_03247","38P2R3A13_04203","47P2R3A6_04346","52P2R3A10_04031","56P2R2A4_03816"
"arcA_2","","Aerobic respiration control protein ArcA","6","6","1","167","491","","","","716","716","716","18P3R3A11_01517","37P2R3-2A1_02328","38P2R3A13_02530","47P2R3A6_02575","52P2R3A10_02201","56P2R2A4_02440"
"rpsU","","30S ribosomal protein S21","6","6","1","166","1817","","","","215","215","215","18P3R3A11_03641","37P2R3-2A1_04113","38P2R3A13_05093","47P2R3A6_01536","52P2R3A10_03740","56P2R2A4_03219"
"rplT","","50S ribosomal protein L20","6","6","1","166","950","","","","356","356","356","18P3R3A11_00453","37P2R3-2A1_00452","38P2R3A13_00564","47P2R3A6_02057","52P2R3A10_00561","56P2R2A4_02097"
"rpsE","","30S ribosomal protein S5","6","6","1","171","59","","","","500","500","500","18P3R3A11_04435","37P2R3-2A1_04380","38P2R3A13_05899","47P2R3A6_04546","52P2R3A10_04287","56P2R2A4_04141"
"cvpA","","Colicin V production protein","6","6","1","166","6454","","","","488","488","488","18P3R3A11_02371","37P2R3-2A1_01886","38P2R3A13_02798","47P2R3A6_00206","52P2R3A10_01889","56P2R2A4_01612"
"zapA","","Cell division protein ZapA","6","6","1","166","1967","","","","329","329","329","18P3R3A11_01025","37P2R3-2A1_02641","38P2R3A13_05974","47P2R3A6_01674","52P2R3A10_04093","56P2R2A4_03346"
"cspE","","Cold shock-like protein CspE","6","6","1","166","7494","","","","209","209","209","18P3R3A11_01232","37P2R3-2A1_01563","38P2R3A13_04255","47P2R3A6_03165","52P2R3A10_01175","56P2R2A4_00991"
"atpI","","ATP synthase protein I","6","6","1","168","123","","","","380","380","380","18P3R3A11_02891","37P2R3-2A1_04254","38P2R3A13_03322","47P2R3A6_03786","52P2R3A10_03639","56P2R2A4_03670"
"rplW","","50S ribosomal protein L23","6","6","1","171","44","","","","302","302","302","18P3R3A11_04450","37P2R3-2A1_04365","38P2R3A13_05884","47P2R3A6_04531","52P2R3A10_04272","56P2R2A4_04156"
"rpmE","","50S ribosomal protein L31","6","6","1","170","53","","","","212","212","212","18P3R3A11_03932","37P2R3-2A1_03823","38P2R3A13_03916","47P2R3A6_04235","52P2R3A10_03893","56P2R2A4_03524"
"rplF","","50S ribosomal protein L6","6","6","1","171","57","","","","533","533","533","18P3R3A11_04437","37P2R3-2A1_04378","38P2R3A13_05897","47P2R3A6_04544","52P2R3A10_04285","56P2R2A4_04143"
"acpP_1","","Acyl carrier protein","6","6","1","166","1144","","","","236","236","236","18P3R3A11_00568","37P2R3-2A1_00338","38P2R3A13_00678","47P2R3A6_02181","52P2R3A10_00674","56P2R2A4_02210"
"rpoA","","DNA-directed RNA polymerase subunit alpha","6","6","1","171","66","","","","989","989","989","18P3R3A11_04428","37P2R3-2A1_04387","38P2R3A13_05906","47P2R3A6_04553","52P2R3A10_04294","56P2R2A4_04134"
"atpE","","ATP synthase subunit c","6","6","1","168","125","","","","239","239","239","18P3R3A11_02893","37P2R3-2A1_04252","38P2R3A13_03324","47P2R3A6_03784","52P2R3A10_03641","56P2R2A4_03668"
"rpmI","","50S ribosomal protein L35","6","6","1","166","951","","","","197","197","197","18P3R3A11_00454","37P2R3-2A1_00451","38P2R3A13_00565","47P2R3A6_02058","52P2R3A10_00562","56P2R2A4_02098"
"rpsL","","30S ribosomal protein S12","6","6","1","169","241","","","","374","374","374","18P3R3A11_01934","37P2R3-2A1_02806","38P2R3A13_02304","47P2R3A6_03805","52P2R3A10_03186","56P2R2A4_03204"
"ptsH","","Phosphocarrier protein HPr","6","6","1","166","6813","","","","257","257","257","18P3R3A11_03045","37P2R3-2A1_01954","38P2R3A13_04950","47P2R3A6_00145","52P2R3A10_02979","56P2R2A4_01531"
"rplV","","50S ribosomal protein L22","6","6","1","171","47","","","","332","332","332","18P3R3A11_04447","37P2R3-2A1_04368","38P2R3A13_05887","47P2R3A6_04534","52P2R3A10_04275","56P2R2A4_04153"
"pal_1","","Peptidoglycan-associated lipoprotein","6","6","1","166","7598","","","","521","521","521","18P3R3A11_01319","37P2R3-2A1_01650","38P2R3A13_04780","47P2R3A6_03078","52P2R3A10_01087","56P2R2A4_01075"
"rpsR","","30S ribosomal protein S18","6","6","1","167","866","","","","227","227","227","18P3R3A11_02023","37P2R3-2A1_03997","38P2R3A13_02230","47P2R3A6_02791","52P2R3A10_03112","56P2R2A4_03870"
"atpC","","ATP synthase epsilon chain","6","6","1","168","131","","","","419","419","419","18P3R3A11_02899","37P2R3-2A1_04246","38P2R3A13_03330","47P2R3A6_03778","52P2R3A10_03647","56P2R2A4_03662"
"rplS","","50S ribosomal protein L19","6","6","1","166","4280","","","","347","347","347","18P3R3A11_04289","37P2R3-2A1_03546","38P2R3A13_01901","47P2R3A6_04095","52P2R3A10_02388","56P2R2A4_02842"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","6","6","1","166","6641","","","","386","386","386","18P3R3A11_03221","37P2R3-2A1_02054","38P2R3A13_03490","47P2R3A6_00048","52P2R3A10_02883","56P2R2A4_01435"
"rpsB","","30S ribosomal protein S2","6","6","1","167","248","","","","725","725","725","18P3R3A11_03496","37P2R3-2A1_02480","38P2R3A13_03551","47P2R3A6_02429","52P2R3A10_02341","56P2R2A4_02301"
"uspB","","Universal stress protein B","6","6","1","169","527","","","","335","335","335","18P3R3A11_01779","37P2R3-2A1_02963","38P2R3A13_02430","47P2R3A6_03964","52P2R3A10_03312","56P2R2A4_03086"
"motA","","Motility protein A","6","6","1","166","2704","","","","887","887","887","18P3R3A11_01652","37P2R3-2A1_03038","38P2R3A13_01839","47P2R3A6_00645","52P2R3A10_01720","56P2R2A4_00100"
"rpoE","","ECF RNA polymerase sigma-E factor","6","6","1","166","6596","","","","575","575","575","18P3R3A11_03255","37P2R3-2A1_02088","38P2R3A13_04916","47P2R3A6_00014","52P2R3A10_02849","56P2R2A4_01401"
"dps","","DNA protection during starvation protein","6","6","1","166","168","","","","503","503","503","18P3R3A11_02871","37P2R3-2A1_00026","38P2R3A13_01009","47P2R3A6_02972","52P2R3A10_01005","56P2R2A4_01146"
"rpsC","","30S ribosomal protein S3","6","6","1","171","48","","","","701","701","701","18P3R3A11_04446","37P2R3-2A1_04369","38P2R3A13_05888","47P2R3A6_04535","52P2R3A10_04276","56P2R2A4_04152"
"fis","","DNA-binding protein Fis","6","6","1","166","1538","","","","296","296","296","18P3R3A11_02739","37P2R3-2A1_03517","38P2R3A13_04479","47P2R3A6_01342","52P2R3A10_02822","56P2R2A4_02871"
"rpsF","","30S ribosomal protein S6","6","6","1","167","864","","","","395","395","395","18P3R3A11_02021","37P2R3-2A1_03995","38P2R3A13_02232","47P2R3A6_02793","52P2R3A10_03114","56P2R2A4_03872"
"csrA","","Carbon storage regulator","6","6","1","166","4450","","","","185","185","185","18P3R3A11_02553","37P2R3-2A1_03625","38P2R3A13_01984","47P2R3A6_01866","52P2R3A10_02470","56P2R2A4_02769"
"yhbY","","RNA-binding protein YhbY","6","6","1","166","1647","","","","332","332","332","18P3R3A11_02653","37P2R3-2A1_03431","38P2R3A13_03012","47P2R3A6_01428","52P2R3A10_02741","56P2R2A4_02952"
"group_10183","ahpC_1","Alkyl hydroperoxide reductase C","6","6","1","166","7465","","","","563","563","563","18P3R3A11_01221","37P2R3-2A1_01552","38P2R3A13_04244","47P2R3A6_03177","52P2R3A10_01186","56P2R2A4_00980"
